KODE PROVINSI,KODE KAB_KOTA,PROVINSI,Jumlah Sekolah SD,Jumlah Kuota Murid SD,Jumlah Murid SD,Dropout SD,Jumlah Sekolah SMP,Jumlah Kuota Murid SMP,Jumlah Murid SMP,Dropout SMP,Jumlah Sekolah SMA,Jumlah Kuota Murid SMA,Jumlah Murid SMA,Dropout SMA,Jumlah Sekolah SMK,Jumlah Kuota Murid SMK,Jumlah Murid SMK,Dropout SMK,PAGU
1,01 00 ,DKI JAKARTA,2224,756455,58269,815,1070,347858,327598,272,496,192105,135828,337,561,196648,125071,192,543468015514000
2,02 00 ,JAWA BARAT,19553,4487262,1321393,5272,5945,1816181,1329421,1217,1768,823771,559129,688,2913,1068475,194348,1595,45936127084000
3,03 00 ,JAWA TENGAH,18618,2595050,714555,2212,3446,1208304,710938,464,861,452954,290527,166,1541,804419,702422,652,39663815151000
4,04 00 ,DI YOGYAKARTA,1846,270610,63013,99,454,132555,113391,14,173,61131,57256,5,206,88842,63359,20,12354403690000
5,05 00 ,JAWA TIMUR,18980,2530849,1547345,2654,4996,1230422,946735,1792,1517,548681,233113,842,2147,774568,168306,1645,45217577671000
6,06 00 ,ACEH,3532,489863,359596,1060,1294,202186,96428,440,539,137657,54724,299,222,54100,50700,169,16000815877000
7,07 00 ,SUMATERA UTARA,9751,1524481,514236,3767,2687,622082,482029,1666,1067,389899,221426,1263,959,304565,246116,2283,20510426452000
8,08 00 ,SUMATERA BARAT,4206,592365,258139,778,858,201502,153294,309,338,153535,145115,241,212,88282,70716,252,10496276559000
9,09 00 ,RIAU,3815,776574,500157,1051,1269,261370,203027,498,467,172295,117438,232,306,105325,72051,253,7863768708000
10,10 00 ,JAMBI,2464,368620,354633,664,708,119756,110514,160,247,81429,73468,191,181,49229,7776,68,7512057549000
11,11 00 ,SUMATERA SELATAN,4719,882011,782370,1887,1438,356480,121174,524,613,220114,144150,397,314,125925,87664,274,16328811167000
12,12 00 ,LAMPUNG,4726,798892,737586,849,1455,336944,315440,199,527,172818,139466,261,497,150736,84119,127,8296352227000
13,13 00 ,KALIMANTAN BARAT,4447,563178,181689,1092,1377,229930,76611,384,472,132567,70293,167,233,75741,63761,223,8818659337000
14,14 00 ,KALIMANTAN TENGAH,2650,276421,93347,549,867,105502,73311,220,245,62671,51238,104,139,33166,9378,105,5453513408000
15,15 00 ,KALIMANTAN SELATAN,2920,353174,226724,534,627,112789,65398,183,207,68164,55588,62,128,55438,53387,121,7480424399000
16,16 00 ,KALIMANTAN TIMUR,1929,419472,353607,639,697,161874,111844,184,237,82333,64541,75,217,83110,67120,55,33960381456000
17,17 00 ,SULAWESI UTARA,2209,218823,118257,469,733,98340,59172,181,229,63567,60874,154,192,45766,36557,158,8491208061000
18,18 00 ,SULAWESI TENGAH,2944,312352,88524,1013,877,113233,102245,500,234,79866,74952,270,182,41943,15349,199,6755175694000
19,19 00 ,SULAWESI SELATAN,6434,883153,611301,1811,1713,331150,84169,717,607,230017,176678,924,406,120300,83555,528,20383484852000
20,20 00 ,SULAWESI TENGGARA,2347,294170,130100,730,789,116802,95306,230,315,94537,65943,211,168,34736,12363,221,6524765034000
21,21 00 ,MALUKU,1815,206984,123016,654,696,89436,73450,211,288,69590,53476,262,120,21812,17267,49,8306653911000
22,22 00 ,BALI,2409,383616,158266,168,404,186003,133227,46,163,95685,81180,21,170,89129,85697,34,11542430868000
23,23 00 ,NUSA TENGGARA BARAT,3330,512620,466465,1093,1063,173957,143804,319,365,116920,84431,919,329,77712,53340,661,6947320947000
24,24 00 ,NUSA TENGGARA TIMUR,5225,663307,394642,3463,1833,316816,206467,866,611,207039,122047,596,343,103874,94947,686,11564138920000
25,25 00 ,PAPUA,831,116836,110365,2842,269,51088,50524,856,113,33269,22370,402,49,13363,10177,294,10841701852000
26,26 00 ,BENGKULU,1407,194870,182949,286,457,85502,73775,91,151,54694,50250,119,103,28542,17015,198,4518470238000
28,28 00 ,MALUKU UTARA,1317,141138,137562,534,519,59722,54844,144,224,44809,34071,103,150,19151,7047,107,4660169975000
29,29 00 ,BANTEN,4610,1203432,873443,1397,1602,441873,127855,471,607,225308,116139,342,724,251415,101996,580,8494366463000
30,30 00 ,KEPULAUAN BANGKA BELITUNG,833,161703,150390,231,232,63212,54524,31,74,31454,30353,23,59,24636,6945,51,395432550000
31,31 00 ,GORONTALO,931,108058,87614,518,342,41425,30059,183,71,31646,14856,168,59,16807,12293,149,5027118670000
32,32 00 ,KEPULAUAN RIAU,982,227249,208974,271,415,99219,97438,19,168,57275,55985,61,104,37984,17092,8,8572641079000
33,33 00 ,PAPUA BARAT,569,71737,58502,584,164,27469,22780,112,64,16881,13717,72,21,6736,6398,75,5723145330000
34,34 00 ,SULAWESI BARAT,1329,143300,139453,402,378,51222,50746,166,92,29665,25136,82,130,25073,4940,356,1150174528000
35,35 00 ,KALIMANTAN UTARA,485,79877,77922,162,195,33093,27693,39,68,18886,17294,16,34,10457,5636,16,3293591130000
36,36 00 ,PAPUA SELATAN,606,94976,89777,1500,130,27592,22268,39,37,12884,11547,16,25,7007,4034,8,877061137000
37,37 00 ,PAPUA TENGAH,553,143052,77878,173,171,40604,21471,30,56,16214,15678,17,51,11181,8402,12,1335238381000
38,38 00 ,PAPUA PEGUNUNGAN,665,140165,127173,200,197,41813,20677,24,62,13843,13709,18,19,4425,4333,10,1345415032000
39,39 00 ,PAPUA BARAT DAYA,547,60227,57608,210,181,24650,23805,27,72,14260,13155,16,38,8985,5015,7,627771269000
